dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-06-29,-0.00906999924005,0.0,0.00246717581898,0.0,81998.6,-1660.48,both_buyHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.00655151876117,wf_is_short,81996.97,-1660.45,0.0,1.0,buyHold,1.0,buyHold,1.0,,
2016-06-30,-0.00856605249878,0.0,0.00263752189358,0.0,82535.82,537.22,both_buyHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,82534.17,537.2,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160701 00:09:42 EDT
2016-07-01 00:00:00,-0.0103903513848,0.0,0.00279751442472,0.0,80386.96,-2148.86,both_buyHold DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,80385.35,-2148.82,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160701 20:51:11 EDT
2016-07-01 00:00:00,-0.0106087289769,0.0,0.00279751442472,0.0,80386.96,-2148.86,both_buyHold DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,80385.35,-2148.82,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160704 20:15:38 EDT
2016-07-05 00:00:00,-0.00236218805669,0.0,0.0029488391231,0.0,81363.72,976.76,both_buyHold DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,81362.09,976.74,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160705 20:28:34 EDT
2016-07-05 00:00:00,-0.00211685321323,0.0,0.0029488391231,0.0,81363.72,976.76,both_buyHold DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,81362.09,976.74,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160705 22:58:43 EDT
2016-07-06 00:00:00,-0.0105024548949,0.0,0.00309276856414,0.0,81021.86,-341.86,both_buyHold DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,81020.23,-341.86,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160706 21:20:35 EDT
2016-07-07 00:00:00,-0.0111118292775,0.0,0.00323029141235,0.0,80533.48,-488.38,both_buyHold DPS wl12.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,80531.86,-488.37,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160707 21:52:10 EDT
2016-07-08 00:00:00,-0.00782147406744,0.0,0.00336219390073,0.0,82291.64,1758.16,both_buyHold DPS wl13.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,82289.98,1758.12,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160708 20:42:58 EDT
2016-07-11 00:00:00,-0.00104062328689,0.0,0.00186500961648,0.0,81412.56,-879.08,both_buyHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,81410.92,-879.06,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160711 21:07:51 EDT
2016-07-12 00:00:00,0.00352230257623,0.00222156942966,0.00208514414057,2.0,82631.5,1218.94,both_buyHold DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,82631.84,1220.92,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160712 21:01:49 EDT
2016-07-13 00:00:00,0.00207574737972,0.00247851494455,0.00228416096288,0.0,82436.15,-195.35,both_buyHold DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,82534.17,-97.67,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160713 21:24:46 EDT
2016-07-14 00:00:00,-0.00502273965497,0.0,0.00246717581898,2.0,80580.56,-1855.59,both_buyHold DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,81606.27,-927.9,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160714 20:46:07 EDT
2016-07-15 00:00:00,-0.00643927861268,0.0,0.00263752189358,0.0,79808.99,-771.57,both_buyHold DPS wl8.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_short,80824.88,-781.39,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160715 21:26:22 EDT
2016-07-18 00:00:00,0.000532894870986,0.0012991685376,0.00161514570617,2.0,81012.56,1203.57,both_buyHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_short,82045.8,1220.92,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160718 21:25:50 EDT
2016-07-19 00:00:00,-0.00487987395805,0.0,0.00186500961648,5.68782868286,94791.46,-4497.32,both_gainAhead_PCA10_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,97039.09,-2249.7,3.88171888524,1.0,gainAhead_PCA10_GNBayes,-1.0,gainAhead_PCA10_f10_is28,1.0,0.5,20160719 20:40:05 EDT
2016-07-20 00:00:00,-0.00786521373812,0.0,0.00208514414057,0.0,76639.14,-706.57,both_buyHold DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,79457.45,-732.55,0.0,1.0,buyHold,1.0,buyHold,1.0,0.5,20160720 21:00:05 EDT
2016-07-21 00:00:00,-0.00662434473915,0.0,0.00228416096288,0.0,94102.36,173.19,both_zigZag_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,96333.76,177.3,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is14,1.0,0.5,20160721 21:10:16 EDT
2016-07-22 00:00:00,-0.00208468966083,0.0,0.00246717581898,3.87032037693,96754.14,2651.78,both_zigZag_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,99048.42,2714.66,3.96209525791,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is9,1.0,0.5,20160722 21:50:07 EDT
2016-07-25 00:00:00,-0.00194040638479,0.0,0.00131876094679,3.92124565919,98027.22,-1008.46,both_zigZag_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,99740.66,-1026.09,3.98978611575,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is3,1.0,0.5,20160725 21:10:28 EDT
2016-07-26 00:00:00,-0.00704752772615,0.0,0.00161514570617,0.0,93459.03,-2551.98,both_zigZag_GNBayes DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,93457.16,-2551.93,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is4,1.0,0.5,20160726 21:06:18 EDT
2016-07-27 00:00:00,0.00320385825026,0.0,0.00114208048144,2.0,93570.45,111.42,both_zigZag_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,93570.58,113.42,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is5,1.0,0.5,20160727 22:19:13 EDT
2016-07-28 00:00:00,-0.00584846872602,0.0,0.00131876094679,5.51895526909,91977.07,-1593.38,both_zigZag_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,92772.94,-797.64,3.71106591224,1.0,zigZag_GNBayes,-1.0,zigZag_GNBayes_f86_is3,1.0,0.5,20160728 20:58:09 EDT
2016-07-29 00:00:00,-0.00482688382514,0.0,0.00161514570617,3.82491521149,95619.06,-179.49,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,96446.35,-181.05,3.85800841565,1.0,zigZag_PCA10_VotingSoft,1.0,zigZag_PCA10_f10_is33,1.0,0.5,20160729 23:51:56 EDT
2016-08-01 00:00:00,-0.00185029912505,0.0,0.00186500961648,3.82009520976,95498.56,-120.5,both_zigZag_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,96324.81,-121.54,3.85314642953,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is33,1.0,0.5,20160801 20:56:35 EDT
2016-08-02 00:00:00,-0.00740226833915,0.0,0.00208514414057,0.0,95802.03,-648.11,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,95800.11,-648.09,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f96_is49,1.0,0.5,20160802 21:39:43 EDT
2016-08-03 00:00:00,-0.00562181699545,0.0,0.00228416096288,2.0,93416.49,-2721.78,both_zigZag_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,95600.4,-1371.68,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is33,1.0,0.5,20160803 23:21:31 EDT
2016-08-04 00:00:00,-0.00492116692515,0.0,0.00114208048144,3.88138727592,97030.8,-1558.35,both_gainAhead_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,97792.51,-1570.58,3.91185676337,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160804 20:50:38 EDT
2016-08-05 00:00:00,-0.00491919451826,0.0,0.00114208048144,3.82383855083,95592.14,-1438.66,both_gainAhead_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,96342.56,-1449.95,3.85385640148,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160805 23:52:02 EDT
2016-08-08 00:00:00,-0.00455674809988,0.0,0.00114208048144,0.0,95127.82,-464.32,both_gainAhead_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,95874.59,-467.97,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160808 21:27:54 EDT
2016-08-09 00:00:00,0.00212521041978,7.99989200144e-05,0.00131876094679,2.0,95183.86,56.04,both_gainAhead_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,95933.09,58.5,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160809 21:46:59 EDT
2016-08-10 00:00:00,0.0132019631123,7.09986800177e-05,0.00161514570617,0.0,95996.41,812.55,both_gainAhead_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,96342.56,409.47,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160810 23:41:13 EDT
2016-08-11 00:00:00,0.0136147246864,5.09993400044e-05,0.00186500961648,0.0,96229.55,233.14,both_gainAhead_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,96459.55,116.99,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160811 21:36:30 EDT
2016-08-12 00:00:00,-0.00644825800982,0.0,0.00208514414057,0.0,97379.32,-954.11,both_zigZag_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,97440.79,-954.72,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is40,1.0,0.5,20160813 00:28:02 EDT
2016-08-15 00:00:00,-0.00100896422466,0.0,0.00228416096288,0.0,98432.07,1052.75,both_zigZag_PCA10_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98494.2,1053.41,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is40,1.0,0.5,20160815 21:44:26 EDT
2016-08-16 00:00:00,-0.00280307489336,0.0,0.00246717581898,0.0,98551.6,119.53,both_zigZag_PCA10_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,98613.8,119.6,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is40,1.0,0.5,20160816 21:27:11 EDT
2016-08-17 00:00:00,-0.00587323216847,0.0,0.00131876094679,0.0,94688.16,-1639.62,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,97600.0,-1690.04,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is33,1.0,0.5,20160817 22:41:14 EDT
2016-08-18 00:00:00,-0.00942779169089,0.0,0.00279751442472,0.0,94101.69,-586.47,both_zigZag_PCA10_VotingSoft DPS wl9.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,96995.5,-604.5,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is33,1.0,0.5,20160818 20:59:16 EDT
2016-08-19 00:00:00,-0.00670670861554,0.0,0.0029488391231,0.0,94522.96,421.27,both_zigZag_PCA10_VotingSoft DPS wl10.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,97429.73,434.23,0.0,1.0,zigZag_PCA10_VotingSoft,-1.0,zigZag_PCA10_f10_is33,1.0,0.5,20160820 01:18:39 EDT
2016-08-22 00:00:00,-0.00112185920531,0.0,0.00309276856414,5.75681056425,95941.09,-2099.94,both_gainAhead_VotingSoft DPS wl11.0 maxL2 dd95_0.003 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,97205.95,-1053.31,3.88839342552,1.0,gainAhead_VotingSoft,-1.0,gainAhead_VotingSoft_f100_is33,1.0,0.5,20160823 00:29:30 EDT
